code,사업자등록번호,정식명,검색명,별칭,계열그룹,구분,대표아티스트_초안,로스터확신도,모니터링등급,상태,누적매출_백만,최근3년_백만,최근12M_백만,당해상반기_백만,거래건수,최초거래,최종거래,비고
A038,282-81-03103,(주)히어위고고,히어위고고,HERE WE GO GO,확인필요,확인필요,,미확인,A,현행,847,847,360,53,25,2023-09-27,2026-03-31,
A039,637-85-02374,(주)빌리언스,빌리언스,BILLIONS,확인필요,레이블,,미확인,A,현행,801,801,384,97,22,2023-11-24,2026-03-29,
A040,211-88-17109,(주)에스엠브랜드마케팅,SM브랜드마케팅,에스엠브랜드마케팅|SM Brand Marketing,SM,MD/굿즈,,해당없음,A,현행,789,789,525,17,19,2024-12-19,2026-02-20,SM 계열 굿즈 발주 채널
A041,186-81-01239,(주)헬로에이티투코리아,헬로에이티투코리아,Hello A to Z Korea,확인필요,확인필요,,미확인,A,현행,755,717,449,90,53,2022-12-15,2026-05-27,
A042,368-86-01011,(주)패러블엔터테인먼트,패러블엔터테인먼트,Parable Entertainment,확인필요,레이블,,미확인,A,현행,678,678,678,0,2,2025-10-23,2025-11-26,
A043,114-86-65214,(주)스타쉽엔터테인먼트,스타쉽엔터테인먼트,Starship|스타쉽,카카오,레이블,아이브|몬스타엑스|크래비티,높음,A,현행,669,669,668,148,15,2025-03-31,2026-06-30,
A044,731-81-01650,(주)쇼플레이엔터테인먼트,쇼플레이엔터테인먼트,SHOWPLAY,확인필요,공연,,미확인,A,현행,594,594,90,90,9,2023-09-25,2026-03-17,
A045,298-88-00677,(주)스페이스오디티,스페이스오디티,Space Oddity|블립,독립,데이터/마케팅,,해당없음,A,현행,571,571,571,571,1,2026-06-22,2026-06-22,
A046,105-88-13642,(주)물고기뮤직,물고기뮤직,Mulgogi Music,독립,레이블,임영웅,중간,A,현행,1384,446,446,0,8,2022-05-10,2025-09-22,트로트 팬덤 - 앨범/굿즈 물량 큼
A047,644-86-03077,(주)그리핀엔터테인먼트,그리핀엔터테인먼트,Griffin Entertainment,확인필요,레이블,,미확인,A,현행,525,525,525,0,1,2025-07-04,2025-07-04,
A048,772-81-03149,(주)아르마다이엔티,아르마다이엔티,ARMADA ENT,확인필요,레이블,,미확인,A,현행,512,512,87,0,11,2023-12-11,2025-08-18,
A049,114-87-01177,(주)브랜뉴뮤직,브랜뉴뮤직,Brand New Music|브랜뉴,독립,레이블,AB6IX|비오|범주,높음,A,현행,502,502,208,122,14,2024-10-17,2026-05-27,
A050,226-88-02423,(주)이큐티와이,이큐티와이,EQTY,확인필요,확인필요,,미확인,A,현행,486,486,486,486,3,2026-04-16,2026-05-27,
A051,348-81-02762,(주)쿼터뮤직,쿼터뮤직,Quarter Music,확인필요,레이블,,미확인,A,현행,586,469,337,179,13,2022-08-31,2026-06-01,
A052,515-81-57038,(주)블루밍테일,블루밍테일,Blooming Tale,확인필요,확인필요,,미확인,B,현행,471,471,295,73,9,2024-12-10,2026-06-30,
A053,229-81-09576,(주)제이와이피엔터테인먼트,JYP엔터테인먼트,제이와이피엔터테인먼트|JYP,JYP,레이블,트와이스|스트레이키즈|있지|엔믹스|데이식스,높음,B,현행,449,449,411,61,10,2025-03-31,2026-04-06,상장 035900
A054,214-86-29288,(주)드림어스컴퍼니,드림어스컴퍼니,Dreamus|드림어스,SK 계열,유통/플랫폼,,해당없음,B,현행,431,431,430,34,24,2023-10-24,2026-03-31,상장 060570 · FLO 운영
A055,662-86-02488,포춘쿠키팩토리(주),포춘쿠키팩토리,Fortune Cookie Factory,확인필요,확인필요,,미확인,B,휴면,1007,355,0,0,14,2022-07-31,2024-12-31,
A056,250-81-01035,(주)이엔터테인먼트,이엔터테인먼트,E Entertainment,확인필요,확인필요,,미확인,B,현행,420,395,19,0,7,2022-12-27,2025-12-31,
A057,999999-9999999,SONY GLOBAL TREASURY SERVICES (개인),SONY GLOBAL TREASURY SERVICES (개인),,확인필요,확인필요,,미확인,B,현행,381,381,381,0,1,2025-11-09,2025-11-09,
A058,578-81-02422,(주)어도어,어도어,ADOR,HYBE,레이블,뉴진스,높음,B,휴면,381,380,0,0,2,2023-06-30,2023-07-20,전속계약 분쟁 이력 - 리스크 상시 감시
A059,880-86-02960,257엔터테인먼트(주),257엔터테인먼트,257 Entertainment,확인필요,레이블,,미확인,B,현행,375,375,375,36,9,2025-10-17,2026-03-18,
A060,382-88-01724,(주)사운드컨텐츠,사운드컨텐츠,Sound Contents,확인필요,유통,,미확인,B,현행,557,338,188,188,14,2023-01-05,2026-04-06,
A061,120-81-93457,에스엘엘중앙(주),SLL중앙,에스엘엘중앙|SLL,중앙그룹,드라마/미디어,,해당없음,B,현행,1439,218,80,0,84,2019-02-07,2026-01-21,
A062,614-81-05875,에스케이텔레콤씨에스티원(주),SKT CST1,에스케이텔레콤씨에스티원,SK 계열,기타,,해당없음,B,현행,544,315,6,6,44,2022-05-17,2026-05-29,
A063,211-88-99299,에이오엠지(주),AOMG,에이오엠지,독립,레이블,,중간,B,휴면,541,283,0,0,12,2021-06-07,2024-03-04,힙합 레이블
A064,131-81-55088,유한책임회사 라라전자,유한책임회사 라라전자,,확인필요,확인필요,,미확인,B,휴면,305,305,0,0,1,2024-05-09,2024-05-09,
A065,201-88-00727,(주)오디오코믹스,오디오코믹스,Audio Comix,확인필요,오디오콘텐츠,,미확인,B,휴면,378,295,0,0,24,2022-12-12,2025-05-20,
A066,575-81-01157,(주)에잇디엔터테인먼트,에잇디엔터테인먼트,8D Entertainment|8D,확인필요,레이블,,미확인,B,휴면,786,239,0,0,22,2021-12-23,2024-01-31,
A067,850-81-02324,(주)528헤르츠,528헤르츠,528Hz,확인필요,레이블,,미확인,B,현행,277,277,277,277,1,2026-06-08,2026-06-08,
A068,379-81-01210,피네이션(주),피네이션,P NATION|피네이션,독립,레이블,싸이,중간,B,현행,505,223,187,177,11,2023-06-08,2026-04-30,
A069,211-88-37347,(주)씨제스스튜디오,씨제스스튜디오,C-JeS|씨제스,독립,매니지먼트,,중간,B,현행,636,205,202,202,59,2016-11-11,2026-04-10,
A070,114-86-69559,(주)디에스피미디어,DSP미디어,디에스피미디어|DSP Media,독립,레이블,카드,중간,B,현행,232,232,106,13,14,2023-09-08,2026-06-17,
A071,327-86-02023,(주)알앤디컴퍼니,알앤디컴퍼니,R&D Company,확인필요,확인필요,,미확인,B,현행,230,227,63,7,22,2023-04-19,2026-04-13,
A072,128-81-35150,(주)거상자원,거상자원,,확인필요,확인필요,,미확인,B,현행,503,189,66,37,66,2019-10-31,2026-06-30,
A073,288-86-02183,어트랙트(주),어트랙트,ATTRAKT,독립,레이블,피프티피프티,중간,B,휴면,224,224,0,0,5,2024-09-30,2024-10-08,전속계약 분쟁 이력 - 리스크 감시
A074,201-86-29360,(주)유니뮤직,유니뮤직,Uni Music,확인필요,확인필요,,미확인,B,현행,398,197,23,15,152,2022-01-07,2026-06-22,
A075,117-81-74473,(주)아이윌미디어,아이윌미디어,I Will Media,확인필요,확인필요,,미확인,B,휴면,218,218,0,0,4,2024-05-23,2025-06-19,
A076,834-81-03511,(주)피에이알에이뮤직,피에이알에이뮤직,PARA Music,확인필요,레이블,,미확인,B,현행,206,206,206,206,1,2026-05-13,2026-05-13,
A077,211-88-19048,(주)메이저나인,메이저나인,Major9,독립,유통/레이블,,중간,B,현행,196,196,156,61,17,2024-03-05,2026-05-14,트로트·발라드 유통
A078,153-87-01153,(주)우조엔터테인먼트,우조엔터테인먼트,WOOZO,확인필요,레이블,,미확인,B,휴면,193,193,0,0,1,2024-06-24,2024-06-24,
A079,211-88-68821,(주)판타지오뮤직,판타지오뮤직,,확인필요,확인필요,,미확인,D,휴면,1626,0,0,0,46,2016-02-20,2021-08-20,
A080,215-90-31936,도서출판 초여명,초여명,도서출판 초여명,독립,출판,,해당없음,B,현행,299,159,56,27,27,2021-10-04,2026-06-30,
A081,101-81-30747,한화호텔앤드리조트(주),한화호텔앤드리조트,한화호텔,한화,기타,,해당없음,B,현행,175,175,135,80,191,2025-02-28,2026-06-30,
A082,114-86-83380,씨제이이앤엠 (주),씨제이이앤엠,,확인필요,확인필요,,미확인,D,휴면,1540,0,0,0,77,2016-03-23,2018-06-18,
A083,718-87-01509,(주)프리즘필터뮤직그룹,프리즘필터뮤직그룹,Prism Filter Music,확인필요,레이블,,미확인,B,휴면,170,170,0,0,1,2023-10-20,2023-10-20,
A084,371-81-00333,(주)테이크원컴퍼니,테이크원컴퍼니,,확인필요,확인필요,,미확인,B,현행,1429,8,8,8,3,2019-07-01,2026-03-11,
A085,242-87-02035,(주)비츠엔터테인먼트,비츠엔터테인먼트,BEATS Entertainment,확인필요,레이블,,미확인,B,휴면,162,162,0,0,9,2023-10-27,2025-10-31,
A086,227-86-02039,(주)더블에이치티엔이,더블에이치티엔이,2H T&E|더블에이치,확인필요,확인필요,,미확인,B,휴면,438,123,0,0,30,2021-07-01,2024-02-06,
A087,220-88-29856,(주)마이뮤직테이스트,마이뮤직테이스트,MyMusicTaste|MMT,독립,공연/플랫폼,,해당없음,B,휴면,284,142,0,0,46,2019-04-15,2025-02-21,
A088,121-86-36395,(주)사운드웨이브,사운드웨이브,Soundwave,독립,유통,,해당없음,B,현행,562,107,3,1,57,2017-12-20,2026-03-10,음반 유통 - 발주 선행지표
A089,331-87-03673,(주)에이엠에이,에이엠에이,AMA,확인필요,확인필요,,미확인,B,현행,157,157,157,157,2,2026-03-23,2026-03-23,
A090,771-87-00874,(주)아이투프럼,아이투프럼,,확인필요,확인필요,,미확인,B,현행,165,143,50,25,42,2023-01-25,2026-06-24,
A091,225-87-01399,(주)노머스,노머스,NOMUS,독립,플랫폼/레이블,플레이브,중간,B,휴면,142,142,0,0,4,2024-12-17,2025-01-24,상장 · 버추얼 IP 굿즈 성장
A092,716-85-02639,스윙엔터테인먼트,스윙엔터테인먼트,Swing Entertainment,독립,매니지먼트,,중간,B,현행,140,140,140,140,2,2026-05-31,2026-06-30,
A093,521-81-01238,(주)리트코이엔에스,리트코이엔에스,,확인필요,확인필요,,미확인,B,현행,157,134,35,9,42,2023-01-25,2026-02-25,
A094,820-15-00067,리허그미하우스,리허그미하우스,Rehug Me House,확인필요,확인필요,,미확인,B,현행,166,130,22,0,8,2022-05-31,2025-07-24,
A095,551-81-00166,(주)안테나,안테나,Antenna|안테나뮤직,카카오,레이블,정승환|권진아|루시|페퍼톤스,중간,B,휴면,134,134,0,0,6,2024-02-07,2024-12-31,
A096,206-31-22663,스튜디오 온실,스튜디오온실,Studio Onsil|스튜디오 온실,확인필요,확인필요,,미확인,B,현행,142,128,11,0,15,2018-09-28,2025-09-16,
A097,220-81-41598,(주)건축사사무소하나디자인,건축사사무소하나디자인,,확인필요,확인필요,,미확인,B,현행,147,127,44,22,42,2023-01-25,2026-06-24,
A098,156-85-01328,경성밥상 강남점,경성밥상 강남점,,확인필요,확인필요,,미확인,B,현행,151,125,11,0,33,2023-01-25,2025-08-25,
A099,532-87-02622,(주)타이탄콘텐츠,타이탄콘텐츠,Titan Content,확인필요,레이블,,미확인,B,현행,128,128,128,1,5,2025-08-07,2026-06-24,
A100,895-85-00860,오프더레코드,오프더레코드,,확인필요,확인필요,,미확인,D,휴면,1117,0,0,0,2,2019-01-16,2019-04-09,
A101,626-81-03002,(주)네오소프트,네오소프트,,확인필요,확인필요,,미확인,B,현행,122,122,53,27,28,2024-03-25,2026-06-24,
A102,605-81-31587,(주)파워스테이션,파워스테이션,Power Station,확인필요,확인필요,,미확인,B,휴면,246,103,0,0,18,2023-04-28,2024-10-14,
A103,664-86-02368,(주)비엔비모터스,비엔비모터스,,확인필요,확인필요,,미확인,B,현행,115,115,115,115,1,2026-05-21,2026-05-21,
A104,124-81-25121,케이비캐피탈 (주),케이비캐피탈,,확인필요,확인필요,,미확인,B,현행,114,114,114,114,1,2026-03-27,2026-03-27,
A105,340-86-02332,(주)파익스퍼밀,파익스퍼밀,Pique Per Mil,확인필요,확인필요,,미확인,B,휴면,113,113,0,0,1,2024-05-27,2024-05-27,
A106,879-88-00705,위엔터테인먼트그룹 (주),위엔터테인먼트그룹,WE Entertainment Group,확인필요,레이블,,미확인,D,휴면,995,0,0,0,6,2020-11-25,2023-06-28,
A107,893-88-00792,(주)비지에프리테일,비지에프리테일,,확인필요,확인필요,,미확인,B,현행,130,106,4,0,33,2023-01-25,2025-07-30,
A108,183-85-02708,(주)디에스피미디어 서울,디에스피미디어 서울,,확인필요,확인필요,,미확인,B,휴면,103,103,0,0,6,2025-02-28,2025-06-27,
A109,504-81-98742,(주)에스이십칠,에스이십칠,,확인필요,확인필요,,미확인,B,휴면,103,103,0,0,1,2024-12-13,2024-12-13,
A110,595-81-00851,(주)에프에프컴퍼니,에프에프컴퍼니,FF Company,확인필요,확인필요,,미확인,B,현행,158,96,35,10,101,2018-06-30,2026-06-08,
A111,729-88-00583,(주)밸런스투자아카데미,밸런스투자아카데미,,확인필요,확인필요,,미확인,B,현행,112,97,34,17,42,2023-01-25,2026-06-24,
A112,725-86-01698,(주)씨피오토모티브,씨피오토모티브,,확인필요,확인필요,,미확인,B,휴면,96,96,0,0,1,2024-04-29,2024-04-29,
A113,720-81-03658,(주)히읗피읖,히읗피읖,,확인필요,확인필요,,미확인,B,현행,94,94,94,94,5,2026-04-09,2026-06-02,
A114,312-87-03240,(주)지오애드벤처,지오애드벤처,,확인필요,확인필요,,미확인,B,현행,90,90,29,6,25,2024-02-25,2026-01-30,
A115,111-81-94020,스튜디오잼 (주),스튜디오잼,Studio Jam,확인필요,확인필요,,미확인,B,휴면,253,68,0,0,6,2022-09-27,2023-11-30,
A116,661-81-01860,(주)엠제이스타피시,엠제이스타피시,,확인필요,확인필요,,미확인,B,현행,144,81,36,12,18,2021-02-01,2026-04-21,
A117,108-20-37342,오투커뮤니케이션,오투커뮤니케이션,,확인필요,확인필요,,미확인,D,휴면,774,0,0,0,57,2016-10-31,2022-10-27,
A118,119-81-92690,금강인쇄(주),금강인쇄,,확인필요,확인필요,,미확인,D,휴면,760,0,0,0,2,2021-10-31,2023-06-09,
A119,402-86-16551,(주)네모즈랩,네모즈랩,,확인필요,확인필요,,미확인,B,현행,82,82,28,10,9,2024-03-19,2026-02-28,
A120,234-81-00539,(주)제이에스컴퍼니,제이에스컴퍼니,,확인필요,확인필요,,미확인,B,휴면,81,81,0,0,1,2024-09-11,2024-09-11,
A121,118-88-02063,(주)씨에스알이앤엠,씨에스알이앤엠,CSR E&M,확인필요,확인필요,,미확인,C,휴면,152,71,0,0,7,2023-01-31,2024-06-30,
A122,348-86-01491,(주)씽잉비틀,씽잉비틀,,확인필요,확인필요,,미확인,C,현행,80,80,80,4,5,2025-07-07,2026-04-06,
A123,107-87-61366,(주)비트로,비트로,,확인필요,확인필요,,미확인,C,현행,78,78,63,49,18,2024-04-04,2026-05-26,
A124,546-81-03481,(주)하키엔터테인먼트,하키엔터테인먼트,,확인필요,확인필요,,미확인,C,현행,76,76,16,0,4,2024-03-27,2025-08-14,
A125,641-88-00681,(주)케이콘즈,케이콘즈,,확인필요,확인필요,,미확인,D,휴면,643,0,0,0,24,2017-11-30,2022-10-19,
A126,722-87-01717,드라마하우스스튜디오 (주),드라마하우스스튜디오,,확인필요,확인필요,,미확인,D,휴면,600,0,0,0,17,2021-11-10,2023-03-20,
A127,481-87-03115,(주)인,인,,확인필요,확인필요,,미확인,C,현행,66,66,66,66,2,2026-06-30,2026-06-30,
A128,125-85-44565,삼성웰스토리 (주),삼성웰스토리,,확인필요,확인필요,,미확인,C,현행,66,66,66,3,9,2025-09-25,2026-01-20,
A129,122-41-62575,비놀릭스위트,비놀릭스위트,,확인필요,확인필요,,미확인,C,현행,64,64,25,12,32,2023-11-25,2026-06-24,
A130,355-32-01633,피아노,피아노,,확인필요,확인필요,,미확인,C,현행,63,63,40,20,20,2024-11-25,2026-06-24,
A131,314-81-03453,(주)지니뮤직,지니뮤직,,확인필요,확인필요,,미확인,D,휴면,555,0,0,0,39,2017-04-10,2023-03-03,
A132,527-88-00328,(주)썬엔터테인먼트,썬엔터테인먼트,,확인필요,확인필요,,미확인,D,휴면,554,0,0,0,18,2019-06-10,2020-12-05,
A133,211-88-46884,마루기획 (주),마루기획,,확인필요,확인필요,,미확인,D,휴면,549,0,0,0,7,2020-09-25,2022-05-25,
A134,813-88-02095,(주)메디마인드,메디마인드,,확인필요,확인필요,,미확인,C,현행,61,61,54,27,16,2025-05-25,2026-06-24,
A135,261-81-09357,(주)달콤소프트,달콤소프트,,확인필요,확인필요,,미확인,C,현행,71,57,20,20,12,2023-04-12,2026-06-01,
A136,105-87-90055,(주)케이큐엔터테인먼트,케이큐엔터테인먼트,,확인필요,확인필요,,미확인,C,현행,68,52,22,21,37,2017-03-31,2026-06-26,
A137,884-85-02965,드라마하우스,드라마하우스,,확인필요,확인필요,,미확인,C,현행,53,53,53,53,1,2026-01-21,2026-01-21,
A138,215-81-93624,(주)에스비에스미디어넷,에스비에스미디어넷,,확인필요,확인필요,,미확인,C,휴면,52,52,0,0,1,2024-05-27,2024-05-27,
A139,441-81-00200,(주)바이애틱,바이애틱,,확인필요,확인필요,,미확인,C,현행,165,37,8,1,42,2018-10-31,2026-01-08,
A140,167-87-00978,(주)토브엔터테인먼트,토브엔터테인먼트,,확인필요,확인필요,,미확인,C,현행,50,50,50,0,1,2025-11-19,2025-11-19,
A141,214-85-57846,한화솔루션(주)인사이트제이드,한화솔루션(주)인사이트제이드,,확인필요,확인필요,,미확인,C,현행,48,48,20,20,14,2024-04-01,2026-03-11,
A142,586-21-00912,리스본,리스본,,확인필요,확인필요,,미확인,C,휴면,65,45,0,0,21,2023-01-25,2024-09-25,
A143,128-82-08418,동국대학교의료원,동국대학교의료원,,확인필요,확인필요,,미확인,C,현행,47,47,27,13,7,2024-12-10,2026-06-17,
A144,732-44-00931,씨유역삼벚꽃길점,씨유역삼벚꽃길점,,확인필요,확인필요,,미확인,C,현행,55,45,3,0,32,2023-01-25,2025-07-30,
A145,105-87-39761,(주)비앤비인더스트리,비앤비인더스트리,,확인필요,확인필요,,미확인,C,현행,45,45,34,0,3,2025-05-28,2025-07-24,
A146,120-87-04975,(주)골드더스트엔터테인먼트,골드더스트엔터테인먼트,,확인필요,확인필요,,미확인,C,휴면,44,44,0,0,2,2024-03-22,2024-10-07,
A147,847-88-02633,(주)오디너리레코즈,오디너리레코즈,,확인필요,확인필요,,미확인,C,현행,44,44,44,44,1,2026-03-05,2026-03-05,
A148,608-47-60729,서브서비스,서브서비스,,확인필요,확인필요,,미확인,C,휴면,43,43,0,0,2,2024-05-21,2024-06-25,
A149,573-60-00254,꿈에개린,꿈에개린,,확인필요,확인필요,,미확인,C,휴면,63,40,0,0,17,2023-01-25,2024-05-17,
A150,105-85-37610,(주)에스엠컬처앤콘텐츠레이블울림지점,에스엠컬처앤콘텐츠레이블울림지점,,확인필요,확인필요,,미확인,D,휴면,375,0,0,0,12,2016-04-30,2016-05-31,
